fecha;trimestre;anio;organizacion;ambito;derecho;accion
4/17/2017;2;2017;Lideres Profesionales - Coban;Civil;A la Salud;Acompanamiento judicial
11/8/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acciones judiciales
4/27/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la vida;Acciones judiciales
4/27/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A el seguro social;Acciones judiciales
10/10/2016;4;2016;Lideres Profesionales - Sede Central;Administrativo;A la integridad personal;Acciones judiciales
4/28/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A el seguro social;Acciones judiciales
11/2/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
11/20/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Conciliacion
11/23/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Conciliacion
12/7/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Conciliacion
12/16/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Elaboracion de documentacion
12/16/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Elaboracion de documentacion
12/28/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Conciliacion
4/28/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Conciliacion
1/10/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
1/11/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Conciliacion
1/11/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Elaboracion de documentacion
1/13/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
2/22/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
4/24/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Elaboracion de documentacion
4/24/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
1/17/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Conciliacion
1/31/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Conciliacion
2/6/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
2/7/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
2017-05-00;2;2017;Lideres Profesionales - Sede Central;Administrativo;A el seguro social;Acciones judiciales
1/17/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Conciliacion
2/22/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
2/5/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
11/9/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
