idTipoEstablecimiento;anio;trimestre;idPoblacion;genero;de1a4;de5a9;de10a14;de15a19;de20a24;de25a29;de30a34;de35a39;de40a44;de45a49;de50a54;de55a59;de60a64;de65oMas
13;2015;1;2;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;2015;1;3;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23;2015;1;4;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
31;2015;2;1;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;2015;2;2;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
20;2015;2;3;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
28;2015;2;4;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13;2015;3;1;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;2015;3;2;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
29;2015;3;3;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21;2015;3;4;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10;2015;4;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;2015;4;2;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13;2015;4;3;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
22;2015;4;4;H;0;0;0;0;791;0;0;0;0;0;0;0;0;0
2;2016;1;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;2016;1;2;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2016;1;4;H;27;29;37;145;202;767;775;807;541;345;253;136;95;147
33;2016;2;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;2016;3;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;2016;4;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;2016;4;2;H;0;0;0;5;2;6;0;0;0;0;0;0;0;0
33;2016;4;3;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2016;4;4;H;2;1;2;5;29;24;40;67;25;26;11;10;6;3
10;2017;1;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;2017;1;2;H;11;4;7;1;4;7;1;4;7;1;4;7;1;4
54;2017;1;3;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;2017;1;4;H;1;1;1;22;99;80;83;108;54;50;24;10;5;18
57;2017;2;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;2017;2;3;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;2017;2;4;H;0;1;0;14;71;65;61;91;27;52;4;0;7;11
13;2015;1;2;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;2015;1;3;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23;2015;1;4;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
31;2015;2;1;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;2015;2;2;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
20;2015;2;3;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
28;2015;2;4;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13;2015;3;1;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;2015;3;2;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
29;2015;3;3;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
