idTipoEstablecimiento;anio;trimestre;poblacion;vihR_reactivas;vihR_noreactivas;vihC_positivas;vihC_negativas;siR_reactivas;siR_noreactivas;siC_positivas;siC_negativas
31;2015;2;MTS;7;140;NULL;NULL;5;100;NULL;NULL
20;2015;2;TRANS;15;0;NULL;NULL;0;0;NULL;NULL
13;2015;1;HSH;700;0;NULL;NULL;700;0;NULL;NULL
23;2015;1;PV;0;634;NULL;NULL;0;634;NULL;NULL
21;2015;3;PV;46;974;NULL;NULL;11;1028;NULL;NULL
24;2015;1;PV;10;2050;NULL;NULL;2;1415;NULL;NULL
25;2015;3;PV;26;579;NULL;NULL;0;605;NULL;NULL
8;2015;1;HSH;5;480;NULL;NULL;1;487;NULL;NULL
15;2015;1;HSH;95;5;NULL;NULL;2;60;NULL;NULL
20;2015;1;PV;0;1600;NULL;NULL;8;1300;NULL;NULL
28;2015;1;PV;3;92;NULL;NULL;0;92;NULL;NULL
26;2015;1;PV;14;2208;NULL;NULL;5;2134;NULL;NULL
19;2015;1;PV;30;1100;NULL;NULL;5;1125;NULL;NULL
29;2015;1;PV;19;1215;NULL;NULL;0;0;NULL;NULL
3;2015;1;HSH;1;1;NULL;NULL;1;0;NULL;NULL
28;2015;2;PV;3;92;NULL;NULL;0;92;NULL;NULL
30;2015;1;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
13;2015;1;TRANS;3;237;NULL;NULL;5;239;NULL;NULL
19;2015;1;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
26;2015;2;PV;14;2080;NULL;NULL;3;1746;NULL;NULL
20;2015;1;TRANS;1;0;NULL;NULL;0;0;NULL;NULL
29;2015;1;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
19;2015;2;PV;10;2800;NULL;NULL;2;2800;NULL;NULL
25;2015;1;PV;26;326;NULL;NULL;2;320;NULL;NULL
25;2015;1;PV;4;11;NULL;NULL;15;11;NULL;NULL
11;2015;2;MTS;2;88;NULL;NULL;4;88;NULL;NULL
9;2015;2;MTS;1;163;NULL;NULL;1;245;NULL;NULL
7;2015;2;MTS;0;60;NULL;NULL;1;60;NULL;NULL
12;2015;2;MTS;4;1145;NULL;NULL;7;549;NULL;NULL
13;2015;3;MTS;12;667;NULL;NULL;12;708;NULL;NULL
14;2015;3;MTS;1;94;NULL;NULL;13;82;NULL;NULL
4;2015;2;MTS;2;162;NULL;NULL;0;162;NULL;NULL
11;2015;2;MTS;2;2489;NULL;NULL;6;537;NULL;NULL
16;2015;1;PV;113;1390;NULL;NULL;66;1709;NULL;NULL
16;2015;2;PV;129;1811;NULL;NULL;40;2134;NULL;NULL
21;2015;1;PV;26;787;NULL;NULL;2;820;NULL;NULL
22;2015;1;PV;10;7233;NULL;NULL;5;2526;NULL;NULL
22;2015;2;PV;10;2688;NULL;NULL;2;2661;NULL;NULL
29;2015;2;PV;16;760;NULL;NULL;0;0;NULL;NULL
7;2015;3;MTS;0;232;NULL;NULL;16;594;NULL;NULL
20;2015;3;PV;27;1624;NULL;NULL;16;1624;NULL;NULL
23;2015;1;TRANS;3;0;NULL;NULL;1;0;NULL;NULL
